P402A,DOMINIO,P401A,CCDD,CCPP,CCDI,REGION,CONGLOMERADO,FACTOR,ESTRATO,ANIO
15.0,1.0,2.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
5.0,1.0,4.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
24.0,1.0,15.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
10.0,1.0,1.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
70.0,1.0,3.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
3.0,1.0,1.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
16.0,1.0,15.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
30.0,1.0,3.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
1.0,1.0,16.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
0.0,1.0,10.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
22.0,1.0,2.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
13.0,1.0,15.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
1.0,1.0,16.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
4.0,1.0,3.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
16.0,1.0,15.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
6.0,1.0,4.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
50.0,1.0,3.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
3.0,1.0,16.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
15.0,1.0,2.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
15.0,1.0,3.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
2.0,1.0,4.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
15.0,1.0,15.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
200.0,1.0,3.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
50.0,1.0,1.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
10.0,1.0,1.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
40.0,1.0,3.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
40.0,1.0,3.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
4.0,1.0,15.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
25.0,1.0,2.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
2.0,1.0,10.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
13.0,1.0,4.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
7.0,1.0,3.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
4.0,1.0,15.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
3.0,1.0,15.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
100.0,1.0,3.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
5.0,1.0,1.0,24,02,03,1.0,00001,16.357142857142858,,2017.0
